state,homeownership,annual_income,debt_to_income,months_since_last_delinq,inquiries_last_12m,open_credit_lines,total_credit_limit,total_credit_utilized,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,loan_purpose,loan_amount,term,interest_rate,installment,grade,issue_month,balance,paid_total,paid_principal,paid_interest
DE,OWN,32000.0,22.09,34.0,6,6,30649,24714,3,7,1.0,6,2,2500,4,3,3,3,76.9,other,9600,36,17.47,344.52,D,Mar-2018,8976.73,1014.93,623.27,391.66
MA,RENT,31000.0,16.26,56.0,2,21,43430,14955,1,11,9.0,21,8,22000,24,20,10,0,100.0,other,15000,36,12.62,502.67,C,Jan-2018,13238.74,2502.83,1761.26,741.57
NJ,RENT,64000.0,8.72,0.0,0,5,49500,19719,1,1,15.0,5,2,25000,4,4,2,0,100.0,debt_consolidation,10000,36,6.71,307.45,A,Mar-2018,9241.17,914.89,758.83,156.06
KY,RENT,24000.0,16.3,0.0,1,11,54966,42068,9,3,1.0,11,1,10000,2,2,1,0,100.0,major_purchase,10450,60,19.42,273.5,D,Mar-2018,9609.03,1297.95,840.97,456.98
NC,MORTGAGE,77000.0,16.04,0.0,3,16,188426,59514,5,8,1.0,16,2,14800,11,10,2,1,100.0,credit_card,7200,36,12.62,241.29,C,Feb-2018,6527.2,960.11,672.8,287.31
OR,RENT,13930.0,21.94,0.0,1,6,13450,4212,1,6,6.0,6,3,2700,10,5,4,0,100.0,debt_consolidation,4200,36,10.91,137.33,B,Jan-2018,3695.17,672.66,504.83,167.83
OH,RENT,60000.0,19.22,0.0,3,14,69357,68594,9,2,6.0,14,3,10600,4,4,4,0,100.0,other,2400,36,17.47,86.13,D,Feb-2018,2244.18,256.06,155.82,100.24
TX,MORTGAGE,41787.0,37.74,0.0,1,11,42639,36441,2,7,5.0,11,8,22300,17,9,9,1,100.0,credit_card,12800,36,18.06,463.14,D,Jan-2018,11693.32,1871.83,1106.68,765.15
OK,MORTGAGE,77000.0,18.39,37.0,3,7,174300,31663,3,4,1.0,7,2,12400,5,3,3,1,90.0,debt_consolidation,30000,36,19.03,1100.14,D,Feb-2018,27442.4,4368.84,2557.6,1811.24
PA,MORTGAGE,72000.0,27.23,36.0,7,13,158659,65964,5,8,0.0,13,2,7900,8,7,4,1,95.2,debt_consolidation,7000,36,12.62,234.58,C,Jan-2018,6178.08,1163.08,821.92,341.16
TX,MORTGAGE,165000.0,11.14,0.0,2,8,103527,70510,2,5,12.0,8,3,43500,9,6,4,2,100.0,other,25000,36,6.07,761.35,A,Feb-2018,22441.1,3036.97,2558.9,478.07
FL,MORTGAGE,43000.0,1.56,0.0,3,15,45100,860,0,8,0.0,15,3,35600,21,15,3,2,100.0,home_improvement,40000,60,9.43,838.71,B,Mar-2018,37877.63,3220.14,2122.37,1097.77
VA,MORTGAGE,90000.0,17.44,0.0,1,10,524622,87687,2,3,12.0,10,3,63500,14,7,3,4,100.0,debt_consolidation,24000,60,10.42,514.91,B,Jan-2018,22440.6,2505.09,1559.4,945.69
SD,OWN,95000.0,11.45,0.0,2,10,73740,14461,1,6,3.0,10,5,29600,23,9,8,0,100.0,debt_consolidation,5000,36,7.96,156.59,A,Mar-2018,4627.27,465.35,372.73,92.62
MO,MORTGAGE,152000.0,21.09,48.0,5,18,476029,121076,3,9,2.0,18,4,170900,27,13,6,4,97.7,small_business,40000,60,13.59,922.25,C,Jan-2018,37600.0,4550.85,2400.0,2150.85
IL,MORTGAGE,49500.0,34.86,0.0,1,14,241110,159851,6,8,2.0,14,3,26700,8,7,5,1,100.0,credit_card,15000,60,15.04,357.17,C,Mar-2018,14486.1,996.32,513.9,482.42
TX,OWN,32000.0,13.77,36.0,1,15,37596,18294,7,9,12.0,15,3,11800,13,8,6,0,76.2,home_improvement,5000,36,12.61,167.54,C,Mar-2018,4651.37,499.12,348.63,150.49
FL,RENT,78000.0,9.61,58.0,3,15,48354,40982,8,3,4.0,15,5,11900,8,7,6,1,68.4,credit_card,7000,36,7.96,219.23,A,Mar-2018,6478.16,654.59,521.84,132.75
AZ,RENT,52000.0,24.39,0.0,4,9,86360,47451,4,3,2.0,9,1,24500,11,5,1,1,100.0,debt_consolidation,17450,60,13.58,402.25,C,Mar-2018,16828.69,1219.92,621.31,598.61
NY,MORTGAGE,147000.0,5.16,56.0,6,8,386381,23551,1,6,1.0,8,5,20500,6,6,6,1,81.8,debt_consolidation,30000,60,16.01,729.71,C,Mar-2018,29336.68,1432.74,663.32,769.42
NJ,OWN,140000.0,28.53,0.0,1,14,454500,177350,1,5,6.0,14,7,77500,23,12,11,3,100.0,debt_consolidation,15000,36,22.91,579.95,E,Feb-2018,13791.64,2281.62,1208.36,1073.26
IL,RENT,50000.0,20.74,0.0,8,28,128476,16061,1,7,1.0,28,9,60000,32,27,14,1,100.0,debt_consolidation,20000,36,7.97,626.46,A,Jan-2018,17499.09,3110.16,2500.91,609.25
MN,RENT,55000.0,12.22,19.0,3,16,26500,10994,0,4,2.0,16,4,7600,22,16,13,0,85.7,debt_consolidation,15000,60,18.06,381.4,D,Jan-2018,14197.97,1891.95,802.03,1089.92
TX,MORTGAGE,190000.0,15.84,0.0,0,10,619105,84019,2,5,18.0,10,3,62000,9,6,5,2,100.0,debt_consolidation,12000,36,6.08,365.5,A,Jan-2018,10771.9,1474.16,1228.1,246.06
CO,RENT,126000.0,3.82,0.0,0,3,49529,7020,1,0,,3,1,27200,5,2,1,0,100.0,debt_consolidation,16500,36,5.32,496.9,A,Feb-2018,14793.69,1982.72,1706.31,276.41
MA,MORTGAGE,95000.0,15.48,0.0,2,13,277964,47779,3,9,7.0,13,6,39100,10,9,7,1,100.0,debt_consolidation,19200,36,5.32,578.21,A,Feb-2018,17214.48,2307.17,1985.52,321.65
NJ,MORTGAGE,80000.0,14.16,0.0,2,11,285387,22788,2,3,1.0,11,6,32500,11,8,6,2,100.0,major_purchase,7050,36,9.93,227.26,B,Jan-2018,6191.3,1132.41,858.7,273.71
IL,RENT,60000.0,16.72,0.0,13,11,242220,30552,2,7,4.0,11,6,15600,8,8,7,1,100.0,debt_consolidation,8000,36,7.96,250.55,A,Mar-2018,7403.61,744.57,596.39,148.18
TX,MORTGAGE,101000.0,18.5,5.0,2,15,343573,39168,4,8,11.0,15,4,20000,26,10,5,2,95.1,debt_consolidation,20000,60,26.77,607.97,E,Mar-2018,19503.68,1764.42,496.32,1268.1
TN,MORTGAGE,113000.0,15.28,0.0,6,21,795794,78028,9,7,0.0,21,4,16600,13,10,7,3,100.0,home_improvement,10800,60,9.44,226.51,B,Jan-2018,10081.03,1126.89,718.97,407.92
NH,MORTGAGE,61000.0,19.05,58.0,9,11,141543,42210,2,3,2.0,11,1,3000,27,8,4,3,87.8,debt_consolidation,7200,36,13.59,244.65,C,Feb-2018,6536.39,1003.07,663.61,339.46
SC,RENT,28000.0,26.96,0.0,0,10,28300,13329,1,0,19.0,10,5,7900,10,9,8,0,100.0,debt_consolidation,12000,36,15.04,416.22,C,Mar-2018,11192.5,1228.61,807.5,421.11
NY,MORTGAGE,75000.0,21.63,0.0,2,17,213035,79897,2,7,5.0,17,4,46900,19,14,7,3,100.0,credit_card,20000,36,5.31,602.21,A,Mar-2018,18452.04,1800.73,1547.96,252.77
TX,RENT,60000.0,18.36,0.0,2,5,36564,20307,2,2,10.0,5,1,600,2,2,2,0,100.0,small_business,6000,36,13.59,203.88,C,Jan-2018,5304.78,1014.87,695.22,319.65
TX,RENT,47000.0,18.92,0.0,0,8,24823,11443,3,5,17.0,8,3,8300,7,5,3,0,100.0,debt_consolidation,5000,36,7.97,156.62,A,Feb-2018,4501.41,622.05,498.59,123.46
FL,RENT,58000.0,14.66,0.0,2,9,101890,43411,3,7,4.0,9,1,36600,7,6,3,0,100.0,debt_consolidation,16000,60,9.93,339.41,B,Jan-2018,14947.68,1688.22,1052.32,635.9
AL,MORTGAGE,55000.0,29.58,62.0,0,14,245213,27408,5,3,17.0,14,3,22300,14,7,6,4,93.3,debt_consolidation,15600,36,6.08,475.15,A,Jan-2018,13599.28,2370.48,2000.72,369.76
WY,RENT,31812.0,37.83,0.0,0,8,58700,38487,0,1,,8,6,48400,15,7,6,0,100.0,debt_consolidation,10000,60,21.85,275.34,D,Feb-2018,9715.1,838.16,284.9,553.26
CA,RENT,95000.0,13.49,14.0,2,9,66559,47029,1,8,6.0,9,1,2100,13,7,6,0,83.3,moving,10000,36,10.42,324.65,B,Feb-2018,9036.27,1287.02,963.73,323.29
PA,MORTGAGE,65000.0,29.36,15.0,0,12,86480,66933,9,0,,12,3,34900,4,3,3,0,50.0,debt_consolidation,30000,36,17.47,1076.62,D,Mar-2018,28052.31,3200.74,1947.69,1253.05
CA,RENT,250000.0,1.12,75.0,0,9,27800,5459,0,3,19.0,9,5,20200,10,8,6,0,100.0,debt_consolidation,30000,36,10.9,980.75,B,Mar-2018,28577.07,1925.17,1422.93,502.24
CO,MORTGAGE,55200.0,18.67,0.0,0,12,206967,57403,7,4,,12,3,26400,9,4,3,5,100.0,credit_card,16000,36,6.08,487.34,A,Jan-2018,13947.94,2425.89,2052.06,373.83
NY,RENT,42000.0,25.23,22.0,1,9,55732,29882,2,5,6.0,9,1,11500,15,7,2,0,95.7,credit_card,20000,36,12.61,670.13,C,Mar-2018,18605.56,1982.37,1394.44,587.93
FL,OWN,60000.0,26.88,0.0,2,23,350266,76834,3,10,9.0,23,5,30600,22,19,6,2,100.0,credit_card,15000,36,18.06,542.74,D,Feb-2018,13703.13,2246.21,1296.87,949.34
MO,MORTGAGE,120000.0,21.45,0.0,0,10,179741,165182,2,8,14.0,10,3,28500,20,8,6,6,100.0,debt_consolidation,16000,60,13.59,368.9,C,Jan-2018,15040.0,1832.42,960.0,872.42
CA,MORTGAGE,63000.0,15.3,78.0,3,11,33048,20366,2,9,8.0,11,2,2300,14,9,8,0,100.0,debt_consolidation,10000,36,16.02,351.67,C,Feb-2018,9336.71,1032.76,663.29,369.47
NY,MORTGAGE,155000.0,16.13,0.0,2,12,294645,96202,6,11,6.0,12,1,24500,13,4,2,2,100.0,major_purchase,25000,36,9.93,805.86,B,Feb-2018,22574.16,3209.65,2425.84,783.81
MA,RENT,40000.0,2.91,0.0,2,4,15800,2523,0,4,7.0,4,2,13800,6,4,3,0,100.0,car,12000,36,9.92,386.76,B,Mar-2018,11130.17,1153.67,869.83,283.84
TN,RENT,42500.0,18.55,0.0,1,6,41886,27474,3,1,5.0,6,2,5800,3,3,3,0,100.0,credit_card,6000,36,7.35,186.23,A,Jan-2018,5243.39,928.7,756.61,172.09
NJ,OWN,230000.0,9.19,38.0,2,8,441037,53298,2,6,3.0,8,3,38500,12,4,3,3,72.2,debt_consolidation,12000,36,10.91,392.36,B,Feb-2018,10851.41,1562.17,1148.59,413.58
LA,MORTGAGE,75000.0,8.46,0.0,1,18,293947,164954,15,4,8.0,18,2,12300,2,2,2,1,100.0,house,10000,60,13.59,230.57,C,Feb-2018,9522.69,903.4,477.31,426.09
MA,RENT,110000.0,11.62,19.0,6,6,50939,19887,2,1,4.0,6,3,12700,8,4,3,2,90.9,credit_card,8500,36,7.34,263.78,A,Mar-2018,7860.74,787.87,639.26,148.61
WV,OWN,172000.0,24.31,0.0,1,17,764559,110739,4,7,4.0,17,6,45200,12,11,8,4,100.0,home_improvement,36000,60,15.05,857.39,C,Feb-2018,34345.64,3399.46,1654.36,1745.1
CA,MORTGAGE,85000.0,22.73,0.0,1,9,428429,69424,4,7,2.0,9,3,37800,5,4,3,3,100.0,debt_consolidation,9000,36,16.01,316.46,C,Mar-2018,8402.95,941.38,597.05,344.33
PA,RENT,42000.0,9.91,35.0,0,10,50600,11048,0,2,,10,5,46500,18,10,7,0,95.2,debt_consolidation,7200,36,7.34,223.44,A,Mar-2018,6840.1,443.94,359.9,84.04
WI,RENT,36000.0,29.47,0.0,4,5,46680,44111,2,4,5.0,5,1,4500,7,3,2,0,100.0,debt_consolidation,6100,36,23.88,238.94,E,Feb-2018,5615.58,939.57,484.42,455.15
IN,OWN,37000.0,4.25,0.0,0,7,19900,4154,0,2,16.0,7,1,12600,12,7,2,0,100.0,debt_consolidation,10000,36,6.72,307.5,A,Feb-2018,8985.52,1226.27,1014.48,211.79
CA,OWN,45000.0,16.97,0.0,3,8,56393,20877,1,9,5.0,8,6,42200,8,6,6,0,100.0,debt_consolidation,25000,36,21.45,947.67,D,Feb-2018,22942.47,3731.1,2057.53,1673.57
CA,RENT,182000.0,6.06,10.0,2,9,56000,34611,0,0,1.0,9,4,51200,23,9,5,0,85.2,credit_card,32000,60,14.08,745.92,C,Jan-2018,29785.98,4165.75,2214.02,1951.73
MI,RENT,45000.0,23.33,0.0,0,19,85062,27762,1,5,14.0,19,4,31900,30,17,14,0,100.0,debt_consolidation,10000,36,9.44,320.05,B,Jan-2018,9023.01,1274.96,976.99,297.97
NY,MORTGAGE,31200.0,33.19,53.0,2,9,40580,30433,3,4,7.0,9,3,3700,8,6,5,0,58.8,debt_consolidation,2200,36,17.09,78.54,D,Feb-2018,2007.09,304.76,192.91,111.85
IL,RENT,27278.0,19.93,0.0,1,9,33085,21669,5,3,6.0,9,3,6300,5,4,4,0,100.0,credit_card,4800,36,16.01,168.78,C,Mar-2018,4481.56,512.75,318.44,194.31
GA,MORTGAGE,75000.0,15.31,0.0,2,23,88855,28400,1,4,4.0,23,1,15400,24,22,2,2,100.0,home_improvement,35000,60,10.9,759.25,B,Mar-2018,33663.94,2235.36,1336.06,899.3
KS,RENT,100000.0,22.88,49.0,2,9,96081,49906,3,2,7.0,9,3,26000,11,6,6,0,89.5,credit_card,35000,36,12.62,1172.9,C,Jan-2018,30890.38,5839.96,4109.62,1730.34
NY,OWN,42000.0,14.4,0.0,2,3,18785,15755,1,1,9.0,3,2,6000,2,2,2,0,100.0,other,10000,60,21.45,273.08,D,Feb-2018,9612.44,1080.4,387.56,692.84
OH,RENT,89000.0,18.65,24.0,0,10,114770,52475,3,4,14.0,10,4,46100,8,7,5,3,95.0,credit_card,19600,36,5.32,590.25,A,Jan-2018,17060.8,2945.46,2539.2,406.26
MA,MORTGAGE,50000.0,27.08,39.0,2,11,288973,46068,3,7,7.0,11,1,17300,10,7,2,2,95.0,debt_consolidation,26000,60,21.85,715.88,D,Mar-2018,25259.29,2084.52,740.71,1343.81
MD,MORTGAGE,99000.0,11.73,0.0,3,12,53203,27819,2,3,2.0,12,8,27300,13,10,10,1,100.0,home_improvement,12000,60,18.06,305.12,D,Jan-2018,11358.38,1495.5,641.62,853.88
AR,RENT,150000.0,7.82,0.0,2,22,381481,93341,3,6,5.0,22,1,39900,28,18,3,3,100.0,medical,13000,36,5.32,391.5,A,Feb-2018,11655.63,1562.16,1344.37,217.79
NY,RENT,57000.0,18.88,24.0,3,22,97124,68759,13,5,1.0,22,2,25700,12,9,4,0,97.1,house,11750,60,17.09,292.59,D,Feb-2018,11238.19,1175.76,511.81,663.95
